(4:person0).id;;(4:person0).primaryName;;(4:person0).birthYear;;(4:person0).deathYear;;(4:person0).primaryProfession;;(3:principal0).id;;(3:principal0).category;;(3:principal0).job;;(3:principal0).characters;;(4:person1).id;;(4:person1).primaryName;;(4:person1).birthYear;;(4:person1).deathYear;;(4:person1).primaryProfession
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100054;;Ted McNamara;;1894;;1928;;actor;;100053;;actor;;N;;[Bat Smith];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;100053;;actor;;N;;[Bat Smith];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;108659;;actor;;N;;[O'Flynn's Groom];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;108659;;actor;;N;;[O'Flynn's Groom];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;119379;;actor;;N;;[Angus McAxle];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;119379;;actor;;N;;[Angus McAxle];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;34748;;actor;;N;;[Heinie];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;34748;;actor;;N;;[Heinie];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;9645;;actor;;N;;[Shorty];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;9645;;actor;;N;;[Shorty];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100170;;Grant Withers;;1905;;1959;;actor,producer,soundtrack;;14;;producer;;producer;;N;;188097;;Richard Loo;;1903;;1983;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;104579;;Billy Butts;;1918;;1987;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;109022;;Norma Marie;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;109303;;Johnny Mack Brown;;1904;;1974;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;114176;;Walter Byron;;1899;;1972;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;114282;;Edward J. Nugent;;1904;;1995;;actor,director,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;125496;;Salka Viertel;;1889;;1978;;writer,actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;129358;;Judith Vosselli;;1895;;1966;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;137958;;Phyllis Barry;;1908;;1954;;actress,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;148015;;Lester White;;1907;;1958;;cinematographer,camera_department,special_effects
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;148016;;Max Baer;;1909;;1959;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;148018;;Primo Carnera;;1906;;1967;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;25740;;Dan Baker;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;26623;;Ethel Langtry;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;26626;;Catherine Doucet;;1875;;1958;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;268422;;Tim Considine;;1940;;2022;;actor,writer,director
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;27120;;William Buckley;;N;;N;;actor,director,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;27408;;Dick Lee;;1872;;1931;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;27780;;Edward Martindel;;1876;;1955;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;27782;;Mildred Morris;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;28072;;Claire Alexander;;1897;;1927;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;32599;;Mary Kennedy;;1896;;1987;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;32601;;Arthur Albertson;;1891;;1926;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;34387;;Mollie King;;1898;;1981;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;34845;;Hedda Hopper;;1885;;1966;;actress,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;35243;;Frank Conlan;;1874;;1955;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;37309;;George MacQuarrie;;1873;;1951;;actor,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;40415;;Jennie Dickerson;;1855;;1943;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;41604;;Ted Dean;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;41608;;Eric Blind;;N;;1916;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;41610;;Leo Gordon;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;42877;;Eleanor Lawson;;1875;;1966;;actress,writer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;43046;;Miss McDonald;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;43051;;Edward Langford;;N;;1926;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;43312;;Inez Shannon;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;44083;;Marie La Varre;;1891;;1967;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;44144;;Norbert Wicki;;1887;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;45425;;Jane Adair;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;46679;;Norman Kerry;;1894;;1956;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;48284;;Gladys Fairbanks;;1892;;1958;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;49552;;Lew Hart;;1846;;1920;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;50359;;Doris Field;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;62340;;Ernie Adams;;1885;;1947;;actor,writer,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;62342;;Robert Ayerton;;N;;1924;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;66009;;Theodore Westman Jr.;;1903;;1927;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;66885;;Dore Davidson;;1851;;1930;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;68637;;Wharton James;;1873;;1943;;actor,director,writer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;74419;;Fred Thomson;;1890;;1928;;actor,stunts,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;74421;;Eddie Phillips;;1899;;1965;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;76638;;Mabel Bert;;1862;;1931;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;76641;;George Parsons;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;77862;;Jerry Sinclair;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;77866;;Ethel Duray;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;82933;;Anna May Wong;;1905;;1961;;actress,soundtrack,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;82936;;Beatrice Bentley;;1888;;1984;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;82938;;Priscilla Moran;;1918;;2006;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;85072;;Al Wilson;;1895;;1932;;actor,writer,producer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;85360;;Orville Caldwell;;1896;;1967;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;87383;;Alexander Carr;;1878;;1946;;actor,writer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;88906;;Hal C. Kern;;1894;;1985;;editor,editorial_department,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;89083;;George A. Billings;;1870;;1934;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;90147;;Stuart Heisler;;1896;;1979;;director,editor,assistant_director
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;91493;;George Sidney;;1877;;1945;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;93933;;David Thompson;;N;;N;;cinematographer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;10025;;writer;;contributing writer;;N;;97116;;Roy D'Arcy;;1894;;1969;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;104579;;Billy Butts;;1918;;1987;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;109022;;Norma Marie;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;109303;;Johnny Mack Brown;;1904;;1974;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;114176;;Walter Byron;;1899;;1972;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;114282;;Edward J. Nugent;;1904;;1995;;actor,director,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;125496;;Salka Viertel;;1889;;1978;;writer,actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;129358;;Judith Vosselli;;1895;;1966;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;137958;;Phyllis Barry;;1908;;1954;;actress,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;148015;;Lester White;;1907;;1958;;cinematographer,camera_department,special_effects
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;148016;;Max Baer;;1909;;1959;;actor,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;148018;;Primo Carnera;;1906;;1967;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;25740;;Dan Baker;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;26623;;Ethel Langtry;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;26626;;Catherine Doucet;;1875;;1958;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;268422;;Tim Considine;;1940;;2022;;actor,writer,director
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;27120;;William Buckley;;N;;N;;actor,director,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;27408;;Dick Lee;;1872;;1931;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;27780;;Edward Martindel;;1876;;1955;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;27782;;Mildred Morris;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;28072;;Claire Alexander;;1897;;1927;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;32599;;Mary Kennedy;;1896;;1987;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;32601;;Arthur Albertson;;1891;;1926;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;34387;;Mollie King;;1898;;1981;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;34845;;Hedda Hopper;;1885;;1966;;actress,soundtrack
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;35243;;Frank Conlan;;1874;;1955;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;37309;;George MacQuarrie;;1873;;1951;;actor,miscellaneous
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;40415;;Jennie Dickerson;;1855;;1943;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;41604;;Ted Dean;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;41608;;Eric Blind;;N;;1916;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;41610;;Leo Gordon;;N;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;42877;;Eleanor Lawson;;1875;;1966;;actress,writer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;43046;;Miss McDonald;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;43051;;Edward Langford;;N;;1926;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;43312;;Inez Shannon;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;44083;;Marie La Varre;;1891;;1967;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;44144;;Norbert Wicki;;1887;;N;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;45425;;Jane Adair;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;46679;;Norman Kerry;;1894;;1956;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;48284;;Gladys Fairbanks;;1892;;1958;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;49552;;Lew Hart;;1846;;1920;;actor
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;50359;;Doris Field;;N;;N;;actress
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;101408;;writer;;editorial director;;N;;62340;;Ernie Adams;;1885;;1947;;actor,writer,soundtrack
